bee;nest;treatment;tstartforaging;logtstartforaging;maxminusstarttime;sumfeedingtime;logsumfeedingtime;numberofvisitations;sumdistcovered;meanvisitduration;revisitations;countyellow;countorange;countblue;visitblue;visitorange;visityellow;allcolorsvisited;averagedistance;meanspeed;sumflowersvisited;visitspatchA;visitspatchB;visitspatchC;patchesvisited;allpatchesvisited;visitsperpatchrounded
2016412-02;10;imidacloprid;355;2.550228353;1179;314;2.496929648;94;3954.926804;3.340425532;23;69;18;7;1;1;1;1;56.49895434;4.955751615;22;44;31;19;3;1;31
2016412-03;10;imidacloprid;375;2.574031268;2327;78;1.892094603;11;60;7.090909091;7;0;0;11;1;0;0;0;20;0.477905944;2;11;0;0;1;0;4
2016412-04;10;imidacloprid;374;2.572871602;1556;459;2.661812686;54;4139.996968;8.touko;16;44;9;1;1;1;1;1;111.89181;7.33512053;20;12;29;13;3;1;18
2016412-05;10;imidacloprid;4;0.602059991;212;30;1.477121255;13;335.8555336;2.307692308;8;11;2;0;0;1;1;0;67.17110672;2.851599695;6;6;7;0;2;0;4
2016413-01;10;imidacloprid;140;2.146128036;1264;61;1.785329835;13;524.6132466;4.692307692;0;6;7;0;0;1;1;0;43.71777055;2.814688558;8;12;1;0;2;0;4
2016413-02;10;imidacloprid;86;1.934498451;2143;137;2.136720567;46;2355.438249;2.97826087;7;38;8;0;0;1;1;0;61.98521707;4.503321372;16;16;20;10;3;1;15
2016413-03;10;imidacloprid;3033;3.48187241;505;126;2.100370545;31;2461.864649;4.064516129;7;28;3;0;0;1;1;0;107.0375934;7.490334335;14;11;7;13;3;1;10
2016413-04;10;imidacloprid;98;1.991226076;;1;0;1;;1;0;0;1;0;0;1;0;0;;;1;1;0;0;1;0;0
2016413-05;10;imidacloprid;2488;3.395850376;537;236;2.372912003;54;3187.112958;4.37037037;10;49;5;0;0;1;1;0;74.118906;6.706571821;18;18;19;17;3;1;18
201648-03;10;imidacloprid;2094;3.320976677;851;377;2.57634135;36;;10.47222222;35;36;0;0;0;0;1;0;;0;1;36;0;0;1;0;12
201648-04;10;imidacloprid;1318;3.11991541;311;12;1.079181246;6;60;2;2;0;0;6;1;0;0;0;20;0.620720511;2;0;6;0;1;0;2
201648-05;10;imidacloprid;1167;3.067070856;57;14;1.146128036;6;226.0669149;2.333333333;5;0;0;6;1;0;0;0;226.0669149;1.046606087;2;3;3;0;2;0;2
201649-01;10;imidacloprid;10;1;696;3;0.477121255;2;44.72135955;1.touko;0;0;2;0;0;1;0;0;44.72135955;0.032127414;2;0;2;0;1;0;1
201649-02;10;imidacloprid;223;2.348304863;1931;182;2.260071388;60;2676.354645;3.033333333;13;43;16;1;1;1;1;1;58.18162271;4.11688681;20;13;39;8;3;1;20
